runner,gender,yard,start,split1,split2,split3,finish
366,M,29,0.2,4.72,23.43,44.98,49.67
366,M,30,0.22,4.4,21.73,42.6,47.38
366,M,31,0.18,4.73,23.77,45.15,49.88
366,M,32,0.18,4.67,23.85,44.47,48.93
366,M,33,0.2,4.62,23.05,44.38,49.32
366,M,34,0.18,4.53,23.6,46.23,51.3
366,M,35,0.27,4.8,23.7,45.08,50.25
366,M,36,0.28,5.18,24.97,45.57,50.43
366,M,37,0.32,5.35,25.13,46.87,52.08
366,M,38,0.35,5.08,23.53,44.5,49.63
366,M,39,0.07,4.72,22.8,42.33,47.1
366,M,40,0.08,4.97,23.75,45.05,49.8
366,M,41,0.12,5.23,24.17,45.75,50.62
366,M,42,0.08,5.13,24.5,46.5,51.58
366,M,43,0.1,4.87,23.78,45.23,50.23
366,M,44,0.08,5.2,25.35,47.4,52.25
366,M,45,0.12,5.32,25.3,47.38,52.15
366,M,46,0.13,5.25,25.77,47.15,51.87
366,M,47,0.1,5.82,25.68,46.18,51.12
366,M,48,0.12,4.78,23.87,44.73,49.77
366,M,49,0.12,6.33,26.78,49.62,54.88
366,M,50,0.2,5.05,25.3,50.12,55.12
366,M,51,0.15,5.35,25.38,48.43,53.38
366,M,52,0.1,4.98,24.83,48.12,53.33
366,M,53,0.03,4.95,26.3,48.87,53.92
366,M,54,0.05,5.47,26.63,47.48,52.35
366,M,55,0.05,4.9,26.17,48.67,53.23
366,M,56,0.07,4.78,24.77,47.58,52.12
366,M,57,0.07,4.6,23.12,43.98,49.33
366,M,58,0.1,4.75,24.37,47.25,52.22
366,M,59,0.08,5.08,25.5,47.38,52.25
366,M,60,0.08,5.65,25.27,48.05,53.22
366,M,61,0.12,5.08,26.27,48.3,53.47
366,M,62,0.12,5.32,27.17,49.2,53.95
366,M,63,0.13,4.73,24.12,47.45,53
366,M,64,0.22,5.33,27.27,51.88,57.03
366,M,65,0.15,5.3,29.35,52.1,56.87
366,M,66,0.3,6.07,,,
11,M,1,0.05,4.37,24.98,47.62,52.7
11,M,2,0.07,4.8,25.33,47.38,52.32
11,M,3,0.12,4.72,24.95,47.7,52.93
11,M,4,0.03,4.42,24.28,46.83,52.05
11,M,5,0.08,4.38,23.78,46.28,51.65
11,M,6,0.03,4.35,25.95,47.9,52.48
11,M,7,0.05,4.17,23.88,45.88,50.92
11,M,8,0.13,4.13,27.27,46.43,51.27
11,M,9,0.05,3.88,22.83,43.43,47.97
11,M,10,0.02,3.75,21.88,44.72,50.47
11,M,11,0.03,4.08,23.57,45.83,51.45
11,M,12,0.12,4.1,22.1,43.75,48.87
11,M,13,0.05,3.5,21.37,44.17,49.55
11,M,14,0.03,4.05,21.95,43.32,48.17
11,M,15,0.07,4.07,22.18,43.28,48.53
11,M,16,0.07,4.3,22.97,43.53,48.2
11,M,17,0.03,3.73,18.52,35.05,38.95
11,M,18,0.05,3.72,19,37.5,41.75
11,M,19,0.08,4.07,20.3,38.92,43.03
11,M,20,0.12,4.05,19.93,40.23,44.82
11,M,21,0.08,3.75,21.23,42.1,47.37
11,M,22,0.12,4.23,23.43,45.42,50.83
11,M,23,0.08,4.2,22.97,44.12,49.2
11,M,24,0.12,4.38,22.07,44.37,49.82
11,M,25,0.12,4.25,23.17,44.97,50.3
11,M,26,0.15,4.13,23.02,46.18,51.92
11,M,27,0.13,4.17,22.77,45.35,50.45
11,M,28,0.17,4.53,23.18,44.12,48.75
11,M,29,0.17,4.12,22.25,46.82,51.25
11,M,30,0.2,4.27,24.53,46.67,51.1
11,M,31,0.15,4.07,21.65,44.02,48.88
11,M,32,0.18,4.67,23.65,45.23,50.2
11,M,33,0.17,4.55,23.85,49.43,53.57
11,M,34,0.18,4.32,23.53,47.4,52.82
11,M,35,0.22,4.92,25.37,47.53,52.6
11,M,36,0.23,5.18,26.9,49.98,54.67
11,M,37,0.28,4.82,27,52.45,57.78
11,M,38,0.27,5.48,32.8,51.33,55.48
11,M,39,0.05,4.75,24.32,47.42,52.33
11,M,40,0.03,4.23,20.48,42.28,46.6
11,M,41,0.07,5.17,25.22,47.15,52.47
11,M,42,0.08,5.12,24.7,49.53,55.3
11,M,43,0.07,4.95,24.67,48.43,54.27
11,M,44,0.07,5.43,25.58,54.22,59.28
11,M,45,0.07,5.25,26.72,47.03,52.72
11,M,46,0.1,5.2,25.68,47.77,52.6
11,M,47,0.1,5.02,25.2,48.43,54.22
11,M,48,0.1,5.08,24.38,48.2,53.75
11,M,49,0.1,5.93,26.8,49.67,54.9
11,M,50,0.12,5.62,27.42,51.87,57.68
11,M,51,0.47,,,,
293,M,1,0.07,4.45,24.17,49.32,54.7
293,M,2,0.05,4.73,22.07,42.58,46.95
293,M,3,0.13,4.58,24.72,44.87,49.3
293,M,4,0.1,4.58,24.13,46.48,50.92
293,M,5,0.08,4.53,22.4,42.52,47.1
293,M,6,0.07,3.87,18.77,36.93,41.47
293,M,7,0.1,4.22,21.03,40.15,46.32
293,M,8,0.15,4.52,22.93,43.25,48.98
293,M,9,0.08,4.15,20.82,39.78,45.02
293,M,10,0.07,4.15,20.37,39.42,43.65
293,M,11,0.17,4.27,23.28,41.58,46.37
293,M,12,0.22,5.1,24.27,44.13,49.75
293,M,13,0.07,4.6,22.9,43.95,48.95
293,M,14,0.03,4.65,23.3,42.68,46.9
293,M,15,0.08,4.77,22.77,42.85,47.43
293,M,16,0.1,4.72,21.9,41.7,46.1
293,M,17,0.05,4.62,21.88,43.37,47.98
293,M,18,0.1,4.9,24.13,46.83,51.28
293,M,19,0.08,4.68,22.63,42.9,47.25
293,M,20,0.17,5.42,25.22,45.68,50
293,M,21,0.1,5.52,24.65,41.1,45.25
293,M,22,0.17,4.63,21.4,43.08,47.72
293,M,23,0.18,4.7,22.42,45.07,50.12
293,M,24,0.13,4.45,21.82,42.45,46.5
293,M,25,0.15,4.43,22.03,43.08,47.95
293,M,26,0.17,4.52,23.42,44.07,48.62
293,M,27,0.2,4.63,22.8,42.6,47.57
293,M,28,0.18,4.78,23.03,44.37,49.52
293,M,29,0.18,5.22,23.33,45,50.6
293,M,30,0.22,5.08,23.68,45.4,49.88
293,M,31,0.18,4.33,23.42,44.1,49.13
293,M,32,0.2,5.17,23.7,44.3,48.98
293,M,33,0.25,4.78,24.13,46.72,51.47
293,M,34,0.2,4.52,23.5,44.33,49.33
293,M,35,0.23,4.9,23.7,45.08,50.3
293,M,36,0.25,5.3,25.18,45.6,50.38
